dataset,train_size,seed,method,status,rmse,mean_crps,coverage_90,mean_width_90,coverage_95,mean_width_95,wall_sec,variant,setting,family,mode,kind,init,projection_init,kcov_lambda,cem_updates,local_noise_std_floor,local_noise_var_floor,refresh_every,refresh_noise_std_floor,refresh_noise_var_floor,refresh_damping,refresh_gate_l2,refresh_gate_max_norm,qr_control,qr_outer_cycles,N_train,N_test,n_test_eval,Q,observed_dim,latent_dim,Q_true,n_neighbors,m_inducing,qr_train_anchor_count,qr_train_anchor_strategy,qr_train_n_neighbors,w_var,w_cov_lengthscale,qr_steps,qr_beta_kl,qr_train_log_std,qr_pairwise_weight,qr_pairwise_margin,lowrank_rank,lowrank_basis,lowrank_qr_w_signal_var,standardize_x,standardize_y_for_head,expansion,noise_std,noise_var,init_inlier_rate,final_inlier_rate,label_change_rate,mean_n_inliers,min_n_inliers,median_n_inliers,max_n_inliers,n_total_neighbors,init_sec,meanw_cem_failed,meanw_cem_inlier_rate,train_sec,pred_sec,split_type,K_default,D,gate_norm_mean,mean_lengthscale,mean_signal_var,mean_noise_var,mean_kernel_vector_correction,fallback_count,history_json,qr_history_json,refresh_history_json
Wine Quality,500,0,original_meanw_jumpgp_cem,ok,0.7822915288511697,0.4653775691986084,0.71,1.5314556443202902,0.76,1.824841954084044,27.898685800028034,original_meanw_jumpgp_cem,Wine Quality,Wine Quality,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,650,200,3,11,3,3,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.7968000000000001,0.7968000000000001,0.0,19.92,4.0,23.0,25.0,25,26.197484100004658,0,0.7968000000000001,26.197484100004658,0.0,random_row,3,11,,,,,,,,,
Wine Quality,500,0,self_cem2_nstd0.05_kcov0.1,ok,0.7391195421668076,0.4235815703868866,0.77,1.7454835308127175,0.835,2.0798719107555383,237.38352589996066,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.7968000000000001,0.8246,0.0434,20.615000000000002,4.0,23.0,24.0,25,24.71838959993329,0,0.7968000000000001,209.21728260000236,1.9897350000683218,random_row,3,11,4.564582619437007,5.0163979461004935,0.2780201514571604,0.21443806617325054,0.20121597320232149,0,"[{""changed_frac"": 0.0358, ""inlier_frac"": 0.8166, ""mean_lengthscale"": 4.185511827616256, ""mean_noise_var"": 0.2359044668909614, ""mean_signal_var"": 0.26753171394719283, ""outer"": 1.0}, {""changed_frac"": 0.009600000000000001, ""inlier_frac"": 0.8246, ""mean_lengthscale"": 4.4700953441135916, ""mean_noise_var"": 0.21881996209363372, ""mean_signal_var"": 0.26626105926035765, ""outer"": 2.0}]",[],[]
Wine Quality,500,0,self_cem2_nstd0.1_kcov0.1,ok,0.7377739988929237,0.4221207797527313,0.775,1.7529064224722648,0.835,2.0887168317111007,205.6469743999187,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.7968000000000001,0.8238000000000001,0.0426,20.595,4.0,23.0,24.0,25,24.339280499960296,0,0.7968000000000001,178.97413690004032,1.0855805000755936,random_row,3,11,4.571872070041649,5.0082524870672644,0.2750015015533969,0.2179277852804053,0.19368053181683195,0,"[{""changed_frac"": 0.0354, ""inlier_frac"": 0.8162, ""mean_lengthscale"": 4.1854716727965755, ""mean_noise_var"": 0.23879632772202364, ""mean_signal_var"": 0.26447530497603555, ""outer"": 1.0}, {""changed_frac"": 0.009600000000000001, ""inlier_frac"": 0.8238000000000001, ""mean_lengthscale"": 4.468761950632902, ""mean_noise_var"": 0.2218185618446975, ""mean_signal_var"": 0.2634085615129459, ""outer"": 2.0}]",[],[]
Wine Quality,500,0,self_cem2_nstd0.15_kcov0.1,ok,0.7371274123564365,0.42141643166542053,0.775,1.7608877482388545,0.835,2.098227167947152,251.5121454000473,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.7968000000000001,0.8244,0.044000000000000004,20.61,4.0,23.0,24.0,25,27.283774599898607,0,0.7968000000000001,221.76066219992936,1.1456518999766558,random_row,3,11,4.5731234396197475,5.007662312632318,0.2665341925030489,0.22487172539705697,0.1814706769912872,0,"[{""changed_frac"": 0.0358, ""inlier_frac"": 0.8166, ""mean_lengthscale"": 4.1926222799083295, ""mean_noise_var"": 0.24384653455256414, ""mean_signal_var"": 0.25979251592173386, ""outer"": 1.0}, {""changed_frac"": 0.0098, ""inlier_frac"": 0.8244, ""mean_lengthscale"": 4.448309031516116, ""mean_noise_var"": 0.2274247593579069, ""mean_signal_var"": 0.2586620944690508, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,0,original_meanw_jumpgp_cem,ok,10.791921278658483,7.806286811828613,0.295,12.217931413928563,0.37,14.558563232925906,42.85360989999026,original_meanw_jumpgp_cem,Parkinsons Telemonitoring,Parkinsons Telemonitoring,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,1237,200,5,18,5,5,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.6444000000000001,0.6444000000000001,0.0,16.11,2.0,17.0,25.0,25,41.488603799953125,0,0.6444000000000001,41.488603799953125,0.0,subject_grouped,5,18,,,,,,,,,
Parkinsons Telemonitoring,500,0,self_cem2_nstd0.05_kcov0.1,ok,10.95825352666709,7.726891040802002,0.315,13.72104117370825,0.405,16.349628982307475,242.34337859996594,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6444000000000001,0.6784,0.054400000000000004,16.96,2.0,18.0,24.0,25,37.65718059998471,0,0.6444000000000001,201.30538699997123,1.027133799972944,subject_grouped,5,18,5.403254266025271,8.238897648666951,0.404126787332918,0.0597438379801088,0.22042049267933742,0,"[{""changed_frac"": 0.0448, ""inlier_frac"": 0.6696000000000001, ""mean_lengthscale"": 7.898205167005181, ""mean_noise_var"": 0.06651394269685668, ""mean_signal_var"": 0.41807603575704655, ""outer"": 1.0}, {""changed_frac"": 0.012400000000000001, ""inlier_frac"": 0.6784, ""mean_lengthscale"": 7.992536675595944, ""mean_noise_var"": 0.061096513788643676, ""mean_signal_var"": 0.4039716130057731, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,0,self_cem2_nstd0.1_kcov0.1,ok,10.933791996742595,7.687798500061035,0.325,13.81503384446749,0.395,16.46162815748045,219.2195011000149,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6444000000000001,0.6788000000000001,0.055200000000000006,16.97,2.0,19.0,24.0,25,45.93577899993397,0,0.6444000000000001,169.2328946000198,1.136666200007312,subject_grouped,5,18,5.42501191657236,8.323292828873269,0.39194828749080646,0.06540945482023874,0.205900103409965,0,"[{""changed_frac"": 0.045200000000000004, ""inlier_frac"": 0.67, ""mean_lengthscale"": 7.895896551484746, ""mean_noise_var"": 0.07168198306206522, ""mean_signal_var"": 0.4106838164813217, ""outer"": 1.0}, {""changed_frac"": 0.0128, ""inlier_frac"": 0.6788000000000001, ""mean_lengthscale"": 8.005259949760939, ""mean_noise_var"": 0.06657910638019639, ""mean_signal_var"": 0.3929404894411108, ""outer"": 2.0}]",[],[]
Parkinsons Telemonitoring,500,0,self_cem2_nstd0.15_kcov0.1,ok,10.903664295502244,7.635119438171387,0.335,13.996070413000886,0.43,16.677346534116673,240.45139780000318,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.6444000000000001,0.679,0.055,16.975,2.0,19.0,24.0,25,44.72293960000388,0,0.6444000000000001,192.14336250000633,1.7854302999330685,subject_grouped,5,18,5.4241735528955815,8.463046480419067,0.3777641608841034,0.07535233155183181,0.1867990007745106,0,"[{""changed_frac"": 0.0446, ""inlier_frac"": 0.6702, ""mean_lengthscale"": 7.909622883595552, ""mean_noise_var"": 0.08087992748366701, ""mean_signal_var"": 0.3986635995781294, ""outer"": 1.0}, {""changed_frac"": 0.0132, ""inlier_frac"": 0.679, ""mean_lengthscale"": 8.038787947164758, ""mean_noise_var"": 0.07626963046675213, ""mean_signal_var"": 0.3801081326438667, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,0,original_meanw_jumpgp_cem,ok,110.70802467390251,45.835243225097656,0.68,85.03159868656057,0.745,101.3213992070548,55.39132970001083,original_meanw_jumpgp_cem,Appliances Energy Prediction,Appliances Energy Prediction,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,593,200,5,27,5,5,35,40,0,kmeans_yvar,35,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.7745714285714286,0.7745714285714286,0.0,27.11,1.0,29.0,35.0,35,51.78913440008182,0,0.7745714285714286,51.78913440008182,0.0,random_row,5,27,,,,,,,,,
Appliances Energy Prediction,500,0,self_cem2_nstd0.05_kcov0.1,ok,104.8456091053634,39.710628509521484,0.785,91.6311035633626,0.845,109.18519429640959,273.964882100001,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7745714285714286,0.8212857142857144,0.07357142857142858,28.745,2.0,31.0,34.0,35,52.40000559994951,0,0.7745714285714286,216.965657700086,2.1338169999653473,random_row,5,27,3.323269264453753,7.683819741311301,0.16080185322516027,0.012485694649910487,0.08443163339024498,0,"[{""changed_frac"": 0.06485714285714286, ""inlier_frac"": 0.8194285714285715, ""mean_lengthscale"": 7.417200455835554, ""mean_noise_var"": 0.013091464373404069, ""mean_signal_var"": 0.26306290161760704, ""outer"": 1.0}, {""changed_frac"": 0.009571428571428573, ""inlier_frac"": 0.8212857142857144, ""mean_lengthscale"": 7.414922963099291, ""mean_noise_var"": 0.01256693524664966, ""mean_signal_var"": 0.18254543553592673, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,0,self_cem2_nstd0.1_kcov0.1,ok,105.02300722932213,39.756690979003906,0.79,92.6814258198807,0.83,110.43673045817229,252.0934486000333,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7745714285714286,0.8241428571428572,0.07671428571428572,28.845,2.0,31.0,34.0,35,51.52600780001376,0,0.7745714285714286,196.70010370004456,1.1165915000019595,random_row,5,27,3.365566861173287,7.754633786095421,0.15559679259422185,0.018472099722112386,0.07412105510298372,0,"[{""changed_frac"": 0.06685714285714286, ""inlier_frac"": 0.8205714285714286, ""mean_lengthscale"": 7.547227072540368, ""mean_noise_var"": 0.01886659048214381, ""mean_signal_var"": 0.2569013090574201, ""outer"": 1.0}, {""changed_frac"": 0.011285714285714286, ""inlier_frac"": 0.8241428571428572, ""mean_lengthscale"": 7.467422770806058, ""mean_noise_var"": 0.018450556215776116, ""mean_signal_var"": 0.17709704605268975, ""outer"": 2.0}]",[],[]
Appliances Energy Prediction,500,0,self_cem2_nstd0.15_kcov0.1,ok,105.24010101271442,39.8875617980957,0.795,97.42264991145777,0.845,116.08624741813875,280.9255530999508,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,5,,,,35,40,0,kmeans_yvar,35,,,,,,,,,,,,,,,,0.7745714285714286,0.829857142857143,0.08014285714285715,29.045,2.0,31.0,34.0,35,54.863410599995404,0,0.7745714285714286,222.74374780000653,1.0506376000121236,random_row,5,27,3.4670575595389495,7.922372742780264,0.14826654425984814,0.029104185927881866,0.05984565153183215,0,"[{""changed_frac"": 0.07185714285714287, ""inlier_frac"": 0.8272857142857144, ""mean_lengthscale"": 7.751248437982302, ""mean_noise_var"": 0.030148937322765905, ""mean_signal_var"": 0.24657455023457125, ""outer"": 1.0}, {""changed_frac"": 0.009714285714285715, ""inlier_frac"": 0.829857142857143, ""mean_lengthscale"": 7.525754514231665, ""mean_noise_var"": 0.029357026973051373, ""mean_signal_var"": 0.16797874628885479, ""outer"": 2.0}]",[],[]
Wine Quality,500,1,original_meanw_jumpgp_cem,ok,0.7608277648456706,0.4430389106273651,0.75,1.5862816820296664,0.805,1.8901712074380765,25.58398400002625,original_meanw_jumpgp_cem,Wine Quality,Wine Quality,anchor,original,cem,pls,0.0,0,,1e-05,0,,1e-05,1.0,0.001,8.0,learned,4,500,650,200,3,11,3,3,25,40,0,kmeans_yvar,25,0.02,,40,0.05,False,0.0,1.0,0,pca_residual,0.1,True,True,uci,nan,nan,0.807,0.807,0.0,20.175,3.0,22.0,25.0,25,24.504098600009456,0,0.807,24.504098600009456,0.0,random_row,3,11,,,,,,,,,
Wine Quality,500,1,self_cem2_nstd0.05_kcov0.1,ok,0.7582673418628244,0.4369073212146759,0.79,1.6865593258517262,0.825,2.0096593899276254,231.38560010003857,self_cem2_nstd0.05_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.807,0.8254,0.0448,20.635,3.0,23.0,24.0,25,24.391732200048864,0,0.807,205.07434919988737,0.7516900999471545,random_row,3,11,4.347813232716161,5.93494044856113,0.21894161984669258,0.26383690064531595,0.16745949383580758,0,"[{""changed_frac"": 0.0368, ""inlier_frac"": 0.8190000000000001, ""mean_lengthscale"": 4.082620106479271, ""mean_noise_var"": 0.2920530889799941, ""mean_signal_var"": 0.2387423142730538, ""outer"": 1.0}, {""changed_frac"": 0.0088, ""inlier_frac"": 0.8254, ""mean_lengthscale"": 4.966904648432821, ""mean_noise_var"": 0.2673052109207687, ""mean_signal_var"": 0.21310599914865427, ""outer"": 2.0}]",[],[]
Wine Quality,500,1,self_cem2_nstd0.1_kcov0.1,ok,0.7580737716719183,0.43611544370651245,0.79,1.699457551082503,0.825,2.025028573241317,160.8287774999626,self_cem2_nstd0.1_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.807,0.8256,0.045000000000000005,20.64,3.0,23.0,24.0,25,21.57455019990448,0,0.807,137.40164189995266,0.9200279999058694,random_row,3,11,4.34381811348055,5.920831925662345,0.21642495959100888,0.26682109830097644,0.16164845315762463,0,"[{""changed_frac"": 0.0368, ""inlier_frac"": 0.8190000000000001, ""mean_lengthscale"": 4.074271072647179, ""mean_noise_var"": 0.29506875262169807, ""mean_signal_var"": 0.2355508529377243, ""outer"": 1.0}, {""changed_frac"": 0.0086, ""inlier_frac"": 0.8256, ""mean_lengthscale"": 4.966138594479203, ""mean_noise_var"": 0.2700394046758976, ""mean_signal_var"": 0.21050078010563, ""outer"": 2.0}]",[],[]
Wine Quality,500,1,self_cem2_nstd0.15_kcov0.1,ok,0.7576509806350156,0.43483641743659973,0.79,1.715700599861671,0.83,2.0443833596397276,164.6566345000174,self_cem2_nstd0.15_kcov0.1,,,,,,,,,,,,,,,,,,,,,,3,,,,25,40,0,kmeans_yvar,25,,,,,,,,,,,,,,,,0.807,0.8260000000000001,0.0446,20.650000000000002,3.0,23.0,24.0,25,21.344977399916388,0,0.807,141.665526399971,0.8132214000215754,random_row,3,11,4.348830407977793,5.903972161435386,0.21236745446744787,0.2722269653363019,0.15133352451832713,0,"[{""changed_frac"": 0.0366, ""inlier_frac"": 0.8192, ""mean_lengthscale"": 4.064546890318972, ""mean_noise_var"": 0.29968090821612575, ""mean_signal_var"": 0.23127615988569097, ""outer"": 1.0}, {""changed_frac"": 0.0088, ""inlier_frac"": 0.8260000000000001, ""mean_lengthscale"": 4.936825560360975, ""mean_noise_var"": 0.27475889022073785, ""mean_signal_var"": 0.20733651577285284, ""outer"": 2.0}]",[],[]
